Recebido;Node;RSSI;SNR;Client ID;Bateria;Client RSSI;Mensagem
29/06/2022 09:22;300;-72;57;3028016;368%;-;2c 01 28 5b 45 78 74 5d 48 3a 35 39 2e 34 30 54 3a 32 35 2e 34 30 49 3a 32 35 2e 35 35 5b 49 6e 74 5d 48 3a 30 2e 30 30 54 3a 30 2e 30 30 50 3a 20 30 3b da
29/06/2022 09:20;300;-72;57;3028272;368%;-;2c 01 28 5b 45 78 74 5d 48 3a 35 39 2e 35 30 54 3a 32 35 2e 32 30 49 3a 32 35 2e 33 33 5b 49 6e 74 5d 48 3a 30 2e 30 30 54 3a 30 2e 30 30 50 3a 20 30 6f 4a
29/06/2022 09:19;300;-72;57;3028272;368%;-;2c 01 28 5b 45 78 74 5d 48 3a 35 39 2e 35 30 54 3a 32 35 2e 34 30 49 3a 32 35 2e 35 35 5b 49 6e 74 5d 48 3a 30 2e 30 30 54 3a 30 2e 30 30 50 3a 20 30 27 4a
29/06/2022 09:18;300;-72;57;3028272;368%;-;2c 01 28 5b 45 78 74 5d 48 3a 35 39 2e 35 30 54 3a 32 35 2e 32 30 49 3a 32 35 2e 33 33 5b 49 6e 74 5d 48 3a 30 2e 30 30 54 3a 30 2e 30 30 50 3a 20 30 6f 4a
29/06/2022 09:17;300;-72;57;3028272;368%;-;2c 01 28 5b 45 78 74 5d 48 3a 35 39 2e 35 30 54 3a 32 35 2e 31 30 49 3a 32 35 2e 32 32 5b 49 6e 74 5d 48 3a 30 2e 30 30 54 3a 30 2e 30 30 50 3a 20 30 71 ea
29/06/2022 09:16;300;-72;57;3028272;368%;-;2c 01 28 5b 45 78 74 5d 48 3a 35 39 2e 35 30 54 3a 32 35 2e 33 30 49 3a 32 35 2e 34 34 5b 49 6e 74 5d 48 3a 30 2e 30 30 54 3a 30 2e 30 30 50 3a 20 30 3e ea
29/06/2022 09:15;300;-72;57;3028528;368%;-;2c 01 28 5b 45 78 74 5d 48 3a 35 39 2e 36 30 54 3a 32 35 2e 33 30 49 3a 32 35 2e 34 34 5b 49 6e 74 5d 48 3a 30 2e 30 30 54 3a 30 2e 30 30 50 3a 20 30 19 1a
29/06/2022 09:14;300;-72;57;3028784;368%;-;2c 01 28 5b 45 78 74 5d 48 3a 35 39 2e 37 30 54 3a 32 35 2e 32 30 49 3a 32 35 2e 33 33 5b 49 6e 74 5d 48 3a 30 2e 30 30 54 3a 30 2e 30 30 50 3a 20 30 54 2a
29/06/2022 09:13;300;-72;57;3028784;368%;-;2c 01 28 5b 45 78 74 5d 48 3a 35 39 2e 37 30 54 3a 32 35 2e 34 30 49 3a 32 35 2e 35 35 5b 49 6e 74 5d 48 3a 30 2e 30 30 54 3a 30 2e 30 30 50 3a 20 30 1c 2a
29/06/2022 09:12;300;-72;57;3029040;368%;-;2c 01 28 5b 45 78 74 5d 48 3a 35 39 2e 38 30 54 3a 32 35 2e 32 30 49 3a 32 35 2e 33 34 5b 49 6e 74 5d 48 3a 30 2e 30 30 54 3a 30 2e 30 30 50 3a 20 30 dc 3c
29/06/2022 09:11;300;-72;57;3029296;368%;-;2c 01 28 5b 45 78 74 5d 48 3a 35 39 2e 39 30 54 3a 32 35 2e 33 30 49 3a 32 35 2e 34 35 5b 49 6e 74 5d 48 3a 30 2e 30 30 54 3a 30 2e 30 30 50 3a 20 30 77 26
29/06/2022 09:11;255;-65;8;16486;800%;-;ff 00 28 12 02 19 67 00 41 00 4c 08 00 40 66 00 56 54 3b 64 00 e5 f3 0c ff ff 67 76 d3 a3
29/06/2022 09:10;300;-72;48;3026992;368%;-;2c 01 28 5b 45 78 74 5d 48 3a 36 30 2e 30 30 54 3a 32 35 2e 32 30 49 3a 32 35 2e 33 34 5b 49 6e 74 5d 48 3a 30 2e 30 30 54 3a 30 2e 30 30 50 3a 20 30 83 3b
29/06/2022 09:09;300;-72;48;3027248;368%;-;2c 01 28 5b 45 78 74 5d 48 3a 36 30 2e 31 30 54 3a 32 35 2e 32 30 49 3a 32 35 2e 33 34 5b 49 6e 74 5d 48 3a 30 2e 30 30 54 3a 30 2e 30 30 50 3a 20 30 9f ab
29/06/2022 09:08;300;-72;48;3027248;368%;-;2c 01 28 5b 45 78 74 5d 48 3a 36 30 2e 31 30 54 3a 32 35 2e 32 30 49 3a 32 35 2e 33 34 5b 49 6e 74 5d 48 3a 30 2e 30 30 54 3a 30 2e 30 30 50 3a 20 30 9f ab
29/06/2022 09:07;300;-72;48;3027504;368%;-;2c 01 28 5b 45 78 74 5d 48 3a 36 30 2e 32 30 54 3a 32 35 2e 34 30 49 3a 32 35 2e 35 37 5b 49 6e 74 5d 48 3a 30 2e 30 30 54 3a 30 2e 30 30 50 3a 20 30 65 64
29/06/2022 09:06;300;0;0;;-;-;2c 01 28 22 61 b0 11 11 21 e1 02 4b
29/06/2022 09:05;300;-72;48;3027760;368%;-;2c 01 28 5b 45 78 74 5d 48 3a 36 30 2e 33 30 54 3a 32 35 2e 33 30 49 3a 32 35 2e 34 36 5b 49 6e 74 5d 48 3a 30 2e 30 30 54 3a 30 2e 30 30 50 3a 20 30 60 54
29/06/2022 09:04;300;-72;48;3028016;368%;-;2c 01 28 5b 45 78 74 5d 48 3a 36 30 2e 34 30 54 3a 32 35 2e 31 30 49 3a 32 35 2e 32 34 5b 49 6e 74 5d 48 3a 30 2e 30 30 54 3a 30 2e 30 30 50 3a 20 30 3b 97
29/06/2022 09:03;300;-72;48;3028272;368%;-;2c 01 28 5b 45 78 74 5d 48 3a 36 30 2e 35 30 54 3a 32 35 2e 35 30 49 3a 32 35 2e 36 39 5b 49 6e 74 5d 48 3a 30 2e 30 30 54 3a 30 2e 30 30 50 3a 20 30 0e 6d
29/06/2022 09:03;255;-83;7;1712;-;-9;ff 00 28 12 02 19 67 00 53 00 4b 07 00 06 b0 00 23 f1 1e 09 07 bb 83 c5 ff ff 67 76 6b 26
29/06/2022 09:03;255;-84;7;1712;80%;-;ff 00 28 12 02 19 67 00 54 00 4a 07 00 06 b0 00 23 f0 1e 0a 07 2d 2d 88 ff ff 67 76 5c e8
29/06/2022 09:03;255;-83;7;1712;-;-9;ff 00 28 12 02 19 67 00 53 00 49 07 00 06 b0 00 23 ef 1e 09 07 77 d4 6d ff ff 67 76 ca 85
29/06/2022 09:02;300;-72;48;3028528;368%;-;2c 01 28 5b 45 78 74 5d 48 3a 36 30 2e 36 30 54 3a 32 35 2e 30 30 49 3a 32 35 2e 31 34 5b 49 6e 74 5d 48 3a 30 2e 30 30 54 3a 30 2e 30 30 50 3a 20 30 55 42
29/06/2022 09:01;300;-72;48;3028528;368%;-;2c 01 28 5b 45 78 74 5d 48 3a 36 30 2e 36 30 54 3a 32 34 2e 39 30 49 3a 32 35 2e 30 33 5b 49 6e 74 5d 48 3a 30 2e 30 30 54 3a 30 2e 30 30 50 3a 20 30 a0 c4
29/06/2022 09:00;300;-72;48;3028784;368%;-;2c 01 28 5b 45 78 74 5d 48 3a 36 30 2e 37 30 54 3a 32 35 2e 32 30 49 3a 32 35 2e 33 36 5b 49 6e 74 5d 48 3a 30 2e 30 30 54 3a 30 2e 30 30 50 3a 20 30 71 d2
29/06/2022 08:59;300;-72;48;3029040;368%;-;2c 01 28 5b 45 78 74 5d 48 3a 36 30 2e 38 30 54 3a 32 35 2e 31 30 49 3a 32 35 2e 32 35 5b 49 6e 74 5d 48 3a 30 2e 30 30 54 3a 30 2e 30 30 50 3a 20 30 72 5b
29/06/2022 08:58;300;-72;48;3029296;368%;-;2c 01 28 5b 45 78 74 5d 48 3a 36 30 2e 39 30 54 3a 32 34 2e 39 30 49 3a 32 35 2e 30 34 5b 49 6e 74 5d 48 3a 30 2e 30 30 54 3a 30 2e 30 30 50 3a 20 30 28 d2
29/06/2022 08:57;300;-72;48;3029296;368%;-;2c 01 28 5b 45 78 74 5d 48 3a 36 30 2e 39 30 54 3a 32 35 2e 30 30 49 3a 32 35 2e 31 35 5b 49 6e 74 5d 48 3a 30 2e 30 30 54 3a 30 2e 30 30 50 3a 20 30 3b 7e
29/06/2022 08:56;300;-72;48;3029296;368%;-;2c 01 28 5b 45 78 74 5d 48 3a 36 30 2e 39 30 54 3a 32 34 2e 39 30 49 3a 32 35 2e 30 34 5b 49 6e 74 5d 48 3a 30 2e 30 30 54 3a 30 2e 30 30 50 3a 20 30 28 d2
29/06/2022 08:55;300;-72;49;3027248;368%;-;2c 01 28 5b 45 78 74 5d 48 3a 36 31 2e 31 30 54 3a 32 35 2e 30 30 49 3a 32 35 2e 31 35 5b 49 6e 74 5d 48 3a 30 2e 30 30 54 3a 30 2e 30 30 50 3a 20 30 dc 12
29/06/2022 08:54;300;-72;49;3027504;368%;-;2c 01 28 5b 45 78 74 5d 48 3a 36 31 2e 32 30 54 3a 32 35 2e 32 30 49 3a 32 35 2e 33 37 5b 49 6e 74 5d 48 3a 30 2e 30 30 54 3a 30 2e 30 30 50 3a 20 30 c3 e2
29/06/2022 08:53;300;-72;49;3027760;368%;-;2c 01 28 5b 45 78 74 5d 48 3a 36 31 2e 33 30 54 3a 32 35 2e 32 30 49 3a 32 35 2e 33 38 5b 49 6e 74 5d 48 3a 30 2e 30 30 54 3a 30 2e 30 30 50 3a 20 30 60 32
29/06/2022 08:52;255;-108;3;5417;56%;-;ff 00 28 12 02 19 67 00 6c 00 48 03 00 15 29 00 e6 bc 1a 07 06 ff be 89 ff ff 67 76 be 43
29/06/2022 08:52;300;-72;49;3027760;368%;-;2c 01 28 5b 45 78 74 5d 48 3a 36 31 2e 33 30 54 3a 32 35 2e 30 30 49 3a 32 35 2e 31 36 5b 49 6e 74 5d 48 3a 30 2e 30 30 54 3a 30 2e 30 30 50 3a 20 30 94 67
29/06/2022 08:51;300;-72;49;3027760;368%;-;2c 01 28 5b 45 78 74 5d 48 3a 36 31 2e 33 30 54 3a 32 34 2e 37 30 49 3a 32 34 2e 38 33 5b 49 6e 74 5d 48 3a 30 2e 30 30 54 3a 30 2e 30 30 50 3a 20 30 fa c7
29/06/2022 08:50;300;-72;49;3027760;368%;-;2c 01 28 5b 45 78 74 5d 48 3a 36 31 2e 33 30 54 3a 32 34 2e 39 30 49 3a 32 35 2e 30 35 5b 49 6e 74 5d 48 3a 30 2e 30 30 54 3a 30 2e 30 30 50 3a 20 30 24 12
29/06/2022 08:49;300;-72;49;3028016;368%;-;2c 01 28 5b 45 78 74 5d 48 3a 36 31 2e 34 30 54 3a 32 34 2e 39 30 49 3a 32 35 2e 30 35 5b 49 6e 74 5d 48 3a 30 2e 30 30 54 3a 30 2e 30 30 50 3a 20 30 75 22
29/06/2022 08:48;300;-72;49;3028016;368%;-;2c 01 28 5b 45 78 74 5d 48 3a 36 31 2e 34 30 54 3a 32 35 2e 31 30 49 3a 32 35 2e 32 37 5b 49 6e 74 5d 48 3a 30 2e 30 30 54 3a 30 2e 30 30 50 3a 20 30 40 2e
29/06/2022 08:47;300;-72;49;3028016;368%;-;2c 01 28 5b 45 78 74 5d 48 3a 36 31 2e 34 30 54 3a 32 35 2e 31 30 49 3a 32 35 2e 32 37 5b 49 6e 74 5d 48 3a 30 2e 30 30 54 3a 30 2e 30 30 50 3a 20 30 40 2e
29/06/2022 08:46;300;-72;49;3028016;368%;-;2c 01 28 5b 45 78 74 5d 48 3a 36 31 2e 34 30 54 3a 32 34 2e 36 30 49 3a 32 34 2e 37 32 5b 49 6e 74 5d 48 3a 30 2e 30 30 54 3a 30 2e 30 30 50 3a 20 30 7b db
29/06/2022 08:45;300;-72;49;3028016;368%;-;2c 01 28 5b 45 78 74 5d 48 3a 36 31 2e 34 30 54 3a 32 34 2e 36 30 49 3a 32 34 2e 37 32 5b 49 6e 74 5d 48 3a 30 2e 30 30 54 3a 30 2e 30 30 50 3a 20 30 7b db
29/06/2022 08:44;300;-72;49;3028528;368%;-;2c 01 28 5b 45 78 74 5d 48 3a 36 31 2e 36 30 54 3a 32 34 2e 35 30 49 3a 32 34 2e 36 31 5b 49 6e 74 5d 48 3a 30 2e 30 30 54 3a 30 2e 30 30 50 3a 20 30 fd c2
29/06/2022 08:43;300;-72;49;3028528;368%;-;2c 01 28 5b 45 78 74 5d 48 3a 36 31 2e 36 30 54 3a 32 34 2e 36 30 49 3a 32 34 2e 37 32 5b 49 6e 74 5d 48 3a 30 2e 30 30 54 3a 30 2e 30 30 50 3a 20 30 40 bb
29/06/2022 08:42;300;-72;49;3028784;368%;-;2c 01 28 5b 45 78 74 5d 48 3a 36 31 2e 37 30 54 3a 32 34 2e 35 30 49 3a 32 34 2e 36 32 5b 49 6e 74 5d 48 3a 30 2e 30 30 54 3a 30 2e 30 30 50 3a 20 30 92 47
29/06/2022 08:41;300;-72;49;3028784;368%;-;2c 01 28 5b 45 78 74 5d 48 3a 36 31 2e 37 30 54 3a 32 34 2e 33 30 49 3a 32 34 2e 34 30 5b 49 6e 74 5d 48 3a 30 2e 30 30 54 3a 30 2e 30 30 50 3a 20 30 ad 47
29/06/2022 08:40;300;0;0;;-;-;2c 01 28 22 be 89
29/06/2022 08:39;300;-72;49;3028784;368%;-;2c 01 28 5b 45 78 74 5d 48 3a 36 31 2e 37 30 54 3a 32 34 2e 35 30 49 3a 32 34 2e 36 32 5b 49 6e 74 5d 48 3a 30 2e 30 30 54 3a 30 2e 30 30 50 3a 20 30 92 47
29/06/2022 08:38;300;-72;49;3028784;368%;-;2c 01 28 5b 45 78 74 5d 48 3a 36 31 2e 37 30 54 3a 32 34 2e 34 30 49 3a 32 34 2e 35 31 5b 49 6e 74 5d 48 3a 30 2e 30 30 54 3a 30 2e 30 30 50 3a 20 30 b4 e7
29/06/2022 08:37;300;-72;49;3029040;368%;-;2c 01 28 5b 45 78 74 5d 48 3a 36 31 2e 38 30 54 3a 32 34 2e 34 30 49 3a 32 34 2e 35 31 5b 49 6e 74 5d 48 3a 30 2e 30 30 54 3a 30 2e 30 30 50 3a 20 30 0a 17
29/06/2022 08:36;300;-72;49;3029296;368%;-;2c 01 28 5b 45 78 74 5d 48 3a 36 31 2e 39 30 54 3a 32 34 2e 34 30 49 3a 32 34 2e 35 31 5b 49 6e 74 5d 48 3a 30 2e 30 30 54 3a 30 2e 30 30 50 3a 20 30 16 87
